Car#,Time,Speed (m/s),Latitude,Longitude
Car2,130,36,39.47711,-77.32729
Car3,130,41.2,39.59451,-77.05135
Car1,135,36,39.41505,-77.57915
Car2,135,36,39.47551,-77.32764
Car3,135,41.2,39.59324,-77.04961
Car1,140,36,39.41349,-77.57973
Car2,140,36,39.47392,-77.328
Car3,140,41.2,39.59196,-77.04787
Car1,145,36,39.41194,-77.5803
Car2,145,36,39.47232,-77.32835
Car3,145,41.2,39.59068,-77.04613
Car1,150,36,39.41038,-77.58088
Car2,150,36,39.47073,-77.32871
Car3,150,41.2,39.5894,-77.0444
Car1,155,36,39.40882,-77.58145
Car2,155,36,39.46913,-77.32906
Car3,155,41.2,39.58812,-77.04266
Car1,160,36,39.40726,-77.58202
Car2,160,36,39.46754,-77.32942
Car3,160,41.2,39.58685,-77.04092
Car1,165,36,39.40571,-77.5826
Car2,165,36,39.46594,-77.32978
Car3,165,41.2,39.58556,-77.03919
Car1,170,36,39.40415,-77.58318
Car2,170,36,39.46434,-77.33014
Car3,170,41.2,39.58429,-77.03745
Car1,175,36,39.4026,-77.58376
Car2,175,36,39.46275,-77.33049
Car3,175,41.2,39.58301,-77.03572
Car1,180,36,39.40104,-77.58433
Car2,180,36,39.46115,-77.33085
Car3,180,41.2,39.58173,-77.03398
Car1,185,36,39.39948,-77.58491
Car2,185,36,39.45956,-77.3312
Car3,185,41.2,39.58045,-77.03225
Car1,190,36,39.39793,-77.58548
Car2,190,36,39.45796,-77.33156
Car3,190,41.2,39.57917,-77.03051
Car1,195,36,39.39637,-77.58605
Car2,195,36,39.45637,-77.33192
Car3,195,41.2,39.5779,-77.02877
Car1,200,36,39.39481,-77.58663
Car2,200,36,39.45477,-77.33227
Car3,200,41.2,39.57662,-77.02704
Car1,205,36,39.39325,-77.5872
Car2,205,36,39.45317,-77.33263
Car3,205,41.2,39.57534,-77.0253
Car1,210,36,39.3917,-77.58778
Car2,210,36,39.45158,-77.33298
Car3,210,41.2,39.57406,-77.02357
Car1,215,36,39.39014,-77.58836
Car2,215,36,39.44998,-77.33334
Car3,215,41.2,39.57278,-77.02183
Car1,220,36,39.38858,-77.58893
Car2,220,36,39.44839,-77.33369
Car3,220,41.2,39.5715,-77.0201
Car1,225,36,39.38702,-77.58951
Car2,225,36,39.44679,-77.33405
Car3,225,41.2,39.57022,-77.01836
Car1,230,36,39.38547,-77.59008
Car2,230,36,39.4452,-77.3344
Car3,230,41.2,39.56894,-77.01662
Car1,235,36,39.38391,-77.59065
Car2,235,36,39.4436,-77.33476
Car3,235,41.2,39.56767,-77.01488
Car1,240,36,39.38235,-77.59123
Car2,240,36,39.44201,-77.33511
Car3,240,41.2,39.56639,-77.01315
Car1,245,36,39.3808,-77.5918
Car2,245,36,39.44041,-77.33547
Car3,245,41.2,39.56511,-77.01141
Car1,250,36,39.37924,-77.59238
Car2,250,36,39.43881,-77.33583
Car3,250,41.2,39.56383,-77.00968
Car1,255,36,39.37769,-77.59296
Car2,255,36,39.43722,-77.33618
Car3,255,41.2,39.56255,-77.00794
Car1,260,36,39.37613,-77.59354
Car2,260,36,39.43562,-77.33654
Car3,260,41.2,39.56127,-77.00621
Car1,265,36,39.37457,-77.59411
Car2,265,36,39.43402,-77.3369
Car3,265,41.2,39.55999,-77.00448
Car1,270,36,39.37301,-77.59468
Car2,270,36,39.43243,-77.33725
Car3,270,41.2,39.55871,-77.00274
Car1,275,36,39.37146,-77.59526
Car2,275,36,39.43084,-77.33761
Car3,275,41.2,39.55743,-77.00101
Car1,280,36,39.3699,-77.59583
Car2,280,36,39.42924,-77.33796
Car3,280,41.2,39.55616,-76.99927
Car1,285,36,39.36834,-77.59641
Car2,285,36,39.42764,-77.33832
Car3,285,41.2,39.55487,-76.99754
Car1,290,36,39.36678,-77.59698
Car2,290,36,39.42605,-77.33868
Car3,290,41.2,39.5536,-76.9958
Car1,295,36,39.36523,-77.59756
Car2,295,36,39.42445,-77.33903
Car3,295,38.6,39.55233,-76.99414
Car1,300,41.2,39.36365,-77.59814
Car2,300,36,39.42286,-77.33939
Car3,300,38.6,39.55107,-76.99261
Car1,305,41.2,39.36185,-77.59873
Car2,305,36,39.42126,-77.33974
Car3,305,38.6,39.54976,-76.99113
Car1,310,41.2,39.36005,-77.59922
Car2,310,34.6,39.41968,-77.34008
Car3,310,38.6,39.5484,-76.98972
Car1,315,41.2,39.35822,-77.59962
Car2,315,32.1,39.41819,-77.34035
Car3,315,38.6,39.54701,-76.98839
Car1,320,41.2,39.35638,-77.59992
Car2,320,30.9,39.41679,-77.34054
Car3,320,38.6,39.54555,-76.98717
Car1,325,41.2,39.35454,-77.60013
Car2,325,30.9,39.41541,-77.34067
Car3,325,38.6,39.54409,-76.98595
Car1,330,41.2,39.35269,-77.60023
Car2,330,30.9,39.41402,-77.34074
Car3,330,38.6,39.54263,-76.98473
Car1,335,41.2,39.35084,-77.60022
Car2,335,30.9,39.41263,-77.34076
Car3,335,38.6,39.54117,-76.98352
Car1,340,41.2,39.34899,-77.6001
Car2,340,30.9,39.41124,-77.34073
Car3,340,38.6,39.53971,-76.98231
Car1,345,41.2,39.34715,-77.59997
Car2,345,30.9,39.40985,-77.34059
Car3,345,38.6,39.53825,-76.98109
Car1,350,41.2,39.3453,-77.59985
Car2,350,30.9,39.40847,-77.34044
Car3,350,38.6,39.53679,-76.97988
Car1,355,41.2,39.34345,-77.59972
Car2,355,30.9,39.40709,-77.34029
Car3,355,38.6,39.53532,-76.97867
Car1,360,41.2,39.3416,-77.59959
Car2,360,30.9,39.40571,-77.34013
Car3,360,38.6,39.53387,-76.97746
Car1,365,41.2,39.33975,-77.59947
Car2,365,30.9,39.40432,-77.33999
Car3,365,38.6,39.53241,-76.97624
Car1,370,41.2,39.3379,-77.59934
Car2,370,30.9,39.40294,-77.33984
Car3,370,38.6,39.53094,-76.97503
Car1,375,41.2,39.33606,-77.59922
Car2,375,30.9,39.40156,-77.33968
Car3,375,38.6,39.52948,-76.97382
Car1,380,41.2,39.33421,-77.5991
Car2,380,30.9,39.40017,-77.33953
Car3,380,38.6,39.52802,-76.9726
Car1,385,41.2,39.33236,-77.59897
Car2,385,30.9,39.39879,-77.33938
Car3,385,38.6,39.52656,-76.97139
Car1,390,41.2,39.33051,-77.59885
Car2,390,30.9,39.39741,-77.33923
Car3,390,38.6,39.5251,-76.97018
Car1,395,41.2,39.32866,-77.59872
Car2,395,30.9,39.39602,-77.33908
Car3,395,38.6,39.52364,-76.96896
Car1,400,41.2,39.32682,-77.59859
Car2,400,30.9,39.39464,-77.33893
Car3,400,38.6,39.52218,-76.96775
Car1,405,41.2,39.32497,-77.59847
Car2,405,30.9,39.39326,-77.33878
Car3,405,38.6,39.52072,-76.96654
Car1,410,41.2,39.32312,-77.59834
Car2,410,30.9,39.39188,-77.33862
Car3,410,38.6,39.51926,-76.96532
Car1,415,41.2,39.32127,-77.59822
Car2,415,30.9,39.39049,-77.33848
Car3,415,38.6,39.5178,-76.96411
Car1,420,41.2,39.31942,-77.5981
Car2,420,30.9,39.38911,-77.33833
Car3,420,38.6,39.51634,-76.96291
Car1,425,41.2,39.31757,-77.59797
Car2,425,30.9,39.38773,-77.33817
Car3,425,38.6,39.51487,-76.96169
Car1,430,41.2,39.31572,-77.59785
Car2,430,30.9,39.38634,-77.33802
Car3,430,38.6,39.51341,-76.96048
Car1,435,41.2,39.31388,-77.59772
Car2,435,30.9,39.38496,-77.33787
Car3,435,38.6,39.51196,-76.95927
Car1,440,41.2,39.31203,-77.5976
Car2,440,30.9,39.38358,-77.33772
Car3,440,38.6,39.51049,-76.95805
Car1,445,41.2,39.31018,-77.59747
Car2,445,30.9,39.38219,-77.33757
Car3,445,38.6,39.50903,-76.95684
Car1,450,41.2,39.30833,-77.59734
Car2,450,30.9,39.38081,-77.33742
Car3,450,38.6,39.50757,-76.95563
Car1,455,41.2,39.30648,-77.59722
Car2,455,30.9,39.37943,-77.33727
Car3,455,38.6,39.50611,-76.95441
Car1,460,41.2,39.30464,-77.5971
Car2,460,30.9,39.37804,-77.33712
Car3,460,38.6,39.50465,-76.9532
Car1,465,41.2,39.30279,-77.59697
Car2,465,30.9,39.37666,-77.33697
Car3,465,38.6,39.50319,-76.95199
Car1,470,41.2,39.30094,-77.59685
Car2,470,30.9,39.37528,-77.33681
Car3,470,38.6,39.50172,-76.95078
Car1,475,41.2,39.29909,-77.59672
Car2,475,30.9,39.37389,-77.33666
Car3,475,38.6,39.50027,-76.94957
Car1,480,41.2,39.29725,-77.5966
Car2,480,30.9,39.37251,-77.33651
Car3,480,38.6,39.49881,-76.94836
Car1,485,41.2,39.29539,-77.59647
Car2,485,30.9,39.37113,-77.33636
Car3,485,38.6,39.49734,-76.94714
Car1,490,41.2,39.29354,-77.59635
Car2,490,30.9,39.36974,-77.33621
Car3,490,38.6,39.49588,-76.94593
Car1,495,41.2,39.2917,-77.59622
Car2,495,30.9,39.36836,-77.33606
Car3,495,38.6,39.49442,-76.94472
Car1,500,41.2,39.28985,-77.5961
Car2,500,30.9,39.36698,-77.33591
Car3,500,37.2,39.49297,-76.94353
Car1,505,41.2,39.288,-77.59597
Car2,505,30.9,39.3656,-77.33576
Car3,505,36,39.49156,-76.94245
Car1,510,41.2,39.28615,-77.59585
Car2,510,30.9,39.36421,-77.33561
Car3,510,36,39.49014,-76.94145
Car1,515,41.2,39.28431,-77.59573
Car2,515,38.6,39.36259,-77.33546
Car3,515,36,39.48869,-76.94052
Car1,520,41.2,39.28246,-77.5956
Car2,520,38.6,39.36086,-77.33538
Car3,520,36,39.48721,-76.93966
Car1,525,41.2,39.28061,-77.59547
Car2,525,38.6,39.35912,-77.33539
Car3,525,36,39.48571,-76.93887
Car1,530,41.2,39.27876,-77.59534
Car2,530,38.6,39.35738,-77.33548
Car3,530,36,39.48418,-76.93819
Car1,535,41.2,39.27691,-77.59522
Car2,535,38.6,39.35566,-77.33566
Car3,535,36,39.48265,-76.93751
Car1,540,41.2,39.27506,-77.5951
Car2,540,38.6,39.35394,-77.33598
Car3,540,36,39.48112,-76.93682
Car1,545,41.2,39.27322,-77.59497
Car2,545,38.6,39.35222,-77.3363
Car3,545,36,39.47958,-76.93614
Car1,550,41.2,39.27137,-77.59485
Car2,550,38.6,39.35051,-77.33663
Car3,550,36,39.47805,-76.93546
Car1,555,41.2,39.26952,-77.59473
Car2,555,38.6,39.34879,-77.33695
Car3,555,36,39.47652,-76.93478
Car1,560,41.2,39.26767,-77.5946
Car2,560,38.6,39.34707,-77.33727
Car3,560,36,39.47499,-76.9341
Car1,565,41.2,39.26582,-77.59447
Car2,565,38.6,39.34536,-77.33759
Car3,565,36,39.47346,-76.93341
Car1,570,41.2,39.26397,-77.59435
Car2,570,38.6,39.34364,-77.33792
Car3,570,36,39.47193,-76.93273
Car1,575,41.2,39.26213,-77.59422
Car2,575,38.6,39.34192,-77.33824
Car3,575,36,39.4704,-76.93204
Car1,580,41.2,39.26028,-77.5941
Car2,580,38.6,39.34021,-77.33856
Car3,580,36,39.46886,-76.93137
Car1,585,41.2,39.25843,-77.59398
Car2,585,38.6,39.33849,-77.33888
Car3,585,36,39.46733,-76.93069
Car1,590,41.2,39.25658,-77.59385
Car2,590,38.6,39.33677,-77.33921
Car3,590,36,39.4658,-76.93
Car1,595,41.2,39.25473,-77.59373
Car2,595,38.6,39.33506,-77.33953
Car3,595,36,39.46427,-76.92932
Car1,600,46.3,39.25275,-77.59356
Car2,600,38.6,39.33334,-77.33985
Car3,600,36,39.46274,-76.92863
Car1,605,46.3,39.25068,-77.59328
Car2,605,38.6,39.33162,-77.34017
Car3,605,36,39.46121,-76.92796
Car1,610,46.3,39.24862,-77.59286
Car2,610,38.6,39.32991,-77.34049
Car3,610,36,39.45968,-76.92727
Car1,615,46.3,39.24658,-77.59233
Car2,615,38.6,39.32819,-77.34082
Car3,615,36,39.45815,-76.92659
Car1,620,46.3,39.24456,-77.59167
Car2,620,38.6,39.32647,-77.34114
Car3,620,36,39.45662,-76.92591
Car1,625,46.3,39.24257,-77.5909
Car2,625,38.6,39.32475,-77.34146
Car3,625,36,39.45509,-76.92522
Car1,630,46.3,39.24061,-77.59
Car2,630,38.6,39.32304,-77.34178
Car3,630,36,39.45355,-76.92455
Car1,635,46.3,39.23868,-77.589
Car2,635,38.6,39.32132,-77.34211
Car3,635,36,39.45202,-76.92386
Car1,640,46.3,39.23679,-77.58788
Car2,640,38.6,39.3196,-77.34243
Car3,640,36,39.45049,-76.92318
Car1,645,46.3,39.23494,-77.58664
Car2,645,38.6,39.31789,-77.34275
Car3,645,36,39.44896,-76.9225
Car1,650,46.3,39.23314,-77.5853
Car2,650,38.6,39.31617,-77.34307
Car3,650,36,39.44743,-76.92181
Car1,655,46.3,39.23138,-77.58385
Car2,655,38.6,39.31446,-77.34339
Car3,655,36,39.4459,-76.92113
Car1,660,46.3,39.22968,-77.58229
Car2,660,38.6,39.31274,-77.34372
Car3,660,36,39.44437,-76.92046
Car1,665,46.3,39.22804,-77.58064
Car2,665,38.6,39.31102,-77.34404
Car3,665,36,39.44284,-76.91977
Car1,670,46.3,39.22646,-77.57889
Car2,670,38.6,39.30931,-77.34436
Car3,670,36,39.44131,-76.91909
Car1,675,46.3,39.22495,-77.57704
Car2,675,38.6,39.30759,-77.34468
Car3,675,36,39.43978,-76.91841
Car1,680,46.3,39.2235,-77.57511
Car2,680,38.6,39.30587,-77.345
Car3,680,36,39.43824,-76.91772
Car1,685,46.3,39.22212,-77.5731
Car2,685,38.6,39.30415,-77.34533
Car3,685,36,39.43671,-76.91705
Car1,690,46.3,39.22082,-77.57101
Car2,690,38.6,39.30244,-77.34565
Car3,690,36,39.43518,-76.91637
Car1,695,46.3,39.21959,-77.56883
Car2,695,38.6,39.30072,-77.34597
Car3,695,36,39.43365,-76.91568
Car1,700,46.3,39.21844,-77.56659
Car2,700,38.6,39.299,-77.34629
Car3,700,36,39.43212,-76.915
Car1,705,46.3,39.21738,-77.56429
Car2,705,38.6,39.29729,-77.34661
Car3,705,36,39.43059,-76.91432
Car1,710,46.3,39.2164,-77.56191
Car2,710,38.6,39.29557,-77.34694
Car3,710,36,39.42905,-76.91364
Car1,715,46.3,39.2155,-77.55949
Car2,715,38.6,39.29385,-77.34726
Car3,715,36,39.42752,-76.91296
Car1,720,46.3,39.21469,-77.55701
Car2,720,38.6,39.29214,-77.34758
Car3,720,36,39.42599,-76.91228
Car1,725,46.3,39.21397,-77.5545
Car2,725,38.6,39.29042,-77.3479
Car3,725,36,39.42446,-76.91159
Car1,730,46.3,39.21334,-77.55193
Car2,730,38.6,39.2887,-77.34822
Car3,730,36,39.42293,-76.91091
Car1,735,46.3,39.21281,-77.54934
Car2,735,38.6,39.28699,-77.34854
Car3,735,36,39.4214,-76.91023
Car1,740,46.3,39.21236,-77.54671
Car2,740,38.6,39.28527,-77.34887
Car3,740,36,39.41987,-76.90955
Car1,745,46.3,39.21206,-77.54405
Car2,745,38.6,39.28355,-77.34919
Car3,745,36,39.41833,-76.90887
Car1,750,46.3,39.21178,-77.54139
Car2,750,38.6,39.28183,-77.34951
Car3,750,36,39.41681,-76.90819
Car1,755,46.3,39.21151,-77.53873
Car2,755,38.6,39.28012,-77.34983
Car3,755,36,39.41528,-76.90751
Car1,760,46.3,39.21123,-77.53606
Car2,760,38.6,39.2784,-77.35015
Car3,760,36,39.41374,-76.90682
Car1,765,46.3,39.21095,-77.5334
Car2,765,38.6,39.27669,-77.35047
Car3,765,36,39.41221,-76.90614
Car1,770,46.3,39.21067,-77.53074
Car2,770,38.6,39.27497,-77.3508
Car3,770,36,39.41068,-76.90546
Car1,775,46.3,39.2104,-77.52808
Car2,775,38.6,39.27325,-77.35112
Car3,775,41.2,39.40897,-76.90474
Car1,780,46.3,39.21012,-77.52541
Car2,780,38.6,39.27153,-77.35144
Car3,780,41.2,39.40717,-76.90413
Car1,785,46.3,39.20985,-77.52275
Car2,785,38.6,39.26982,-77.35176
Car3,785,41.2,39.40538,-76.90355
Car1,790,46.3,39.20957,-77.52009
Car2,790,38.6,39.2681,-77.35208
Car3,790,41.2,39.40358,-76.90298
Car1,795,46.3,39.20929,-77.51743
Car2,795,38.6,39.26638,-77.3524
Car3,795,41.2,39.40179,-76.9024
Car1,800,46.3,39.20901,-77.51476
Car2,800,38.6,39.26467,-77.35273
Car3,800,41.2,39.39999,-76.90182
Car1,805,46.3,39.20874,-77.5121
Car2,805,36.4,39.26298,-77.35302
Car3,805,41.2,39.3982,-76.90125
Car1,810,46.3,39.20846,-77.50944
Car2,810,33.6,39.26141,-77.35323
Car3,810,41.2,39.3964,-76.90067
Car1,815,46.3,39.20818,-77.50677
Car2,815,33.4,39.25991,-77.35336
Car3,815,41.2,39.3946,-76.90009
Car1,820,46.3,39.20791,-77.50411
Car2,820,33.4,39.2584,-77.35342
Car3,820,41.2,39.39281,-76.89951
Car1,825,46.3,39.20763,-77.50145
Car2,825,33.4,39.2569,-77.35342
Car3,825,41.2,39.39101,-76.89893
Car1,830,46.3,39.20736,-77.49878
Car2,830,33.4,39.2554,-77.35335
Car3,830,41.2,39.38921,-76.89836
Car1,835,46.3,39.20708,-77.49612
Car2,835,33.4,39.2539,-77.35322
Car3,835,41.2,39.38742,-76.89778
Car1,840,46.3,39.2068,-77.49345
Car2,840,33.4,39.2524,-77.35302
Car3,840,41.2,39.38562,-76.8972
Car1,845,46.3,39.20652,-77.49079
Car2,845,33.4,39.25091,-77.35276
Car3,845,41.2,39.38382,-76.89663
Car1,850,46.3,39.20625,-77.48813
Car2,850,33.4,39.24943,-77.35243
Car3,850,41.2,39.38203,-76.89605
Car1,855,46.3,39.20597,-77.48547
Car2,855,33.4,39.24796,-77.35204
Car3,855,41.2,39.38023,-76.89548
Car1,860,46.3,39.20569,-77.4828
Car2,860,33.4,39.24649,-77.35159
Car3,860,41.2,39.37843,-76.8949
Car1,865,46.3,39.20541,-77.48014
Car2,865,33.4,39.24504,-77.35107
Car3,865,41.2,39.37664,-76.89432
Car1,870,46.3,39.20514,-77.47748
Car2,870,33.4,39.24361,-77.35049
Car3,870,41.2,39.37484,-76.89375
Car1,875,46.3,39.20486,-77.47482
Car2,875,33.4,39.24219,-77.34986
Car3,875,41.2,39.37305,-76.89317
Car1,880,46.3,39.20458,-77.47215
Car2,880,33.4,39.24079,-77.34916
Car3,880,41.2,39.37125,-76.89259
Car1,885,46.3,39.2043,-77.46949
Car2,885,33.4,39.2394,-77.3484
Car3,885,41.2,39.36946,-76.89201
Car1,890,46.3,39.20402,-77.46684
Car2,890,33.4,39.23804,-77.34758
Car3,890,41.2,39.36766,-76.89143
Car1,895,46.3,39.20375,-77.46416
Car2,895,33.4,39.2367,-77.3467
Car3,895,41.2,39.36586,-76.89086
Car1,900,46.3,39.20347,-77.4615
Car2,900,33.4,39.23538,-77.34576
Car3,900,41.2,39.36407,-76.89028
Car1,905,46.3,39.20319,-77.45884
Car2,905,33.4,39.23409,-77.34477
Car3,905,41.2,39.36227,-76.88971
Car1,910,46.3,39.20291,-77.45618
Car2,910,33.4,39.23282,-77.34373
Car3,910,41.2,39.36047,-76.88913
Car1,915,46.3,39.20263,-77.45351
Car2,915,33.4,39.23159,-77.34263
Car3,915,41.2,39.35868,-76.88856
Car1,920,46.3,39.20235,-77.45086
Car2,920,33.4,39.23037,-77.34148
Car3,920,41.2,39.35688,-76.88798
Car1,925,46.3,39.20208,-77.4482
Car2,925,33.4,39.22919,-77.34027
Car3,925,41.2,39.35508,-76.88741
Car1,930,46.3,39.2018,-77.44553
Car2,930,33.4,39.22805,-77.33901
Car3,930,41.2,39.35329,-76.88683
Car1,935,46.3,39.20152,-77.44287
Car2,935,33.4,39.22693,-77.33771
Car3,935,41.2,39.35149,-76.88625
Car1,940,46.3,39.20124,-77.44021
Car2,940,33.4,39.22586,-77.33636
Car3,940,41.2,39.3497,-76.88567
Car1,945,44.5,39.20096,-77.43756
Car2,945,33.4,39.22482,-77.33496
Car3,945,41.2,39.3479,-76.8851
Car1,950,40.4,39.20063,-77.43513
Car2,950,33.4,39.22381,-77.33352
Car3,950,41.2,39.3461,-76.88452
Car1,955,37.1,39.20025,-77.43292
Car2,955,33.4,39.22284,-77.33204
Car3,955,41.2,39.34431,-76.88395
Car1,960,36,39.19985,-77.43089
Car2,960,33.4,39.2219,-77.33051
Car3,960,41.2,39.34251,-76.88337
Car1,965,36,39.19939,-77.42888
Car2,965,33.4,39.22102,-77.32895
Car3,965,41.2,39.34071,-76.88279
Car1,970,36,39.19887,-77.4269
Car2,970,31.3,39.22018,-77.32739
Car3,970,41.2,39.33892,-76.88222
Car1,975,36,39.1983,-77.42495
Car2,975,30.9,39.21944,-77.32587
Car3,975,41.2,39.33712,-76.88165
Car1,980,36,39.19767,-77.42302
Car2,980,30.9,39.21873,-77.32434
Car3,980,41.2,39.33533,-76.88107
Car1,985,36,39.19699,-77.42112
Car2,985,30.9,39.21805,-77.32277
Car3,985,41.2,39.33353,-76.88049
Car1,990,36,39.19624,-77.41928
Car2,990,30.9,39.21741,-77.32118
Car3,990,41.2,39.33173,-76.87991
Car1,995,36,39.19545,-77.41745
Car2,995,30.9,39.21682,-77.31956
Car3,995,43.7,39.3299,-76.87933
Car1,1000,36,39.19467,-77.41562
Car2,1000,30.9,39.21626,-77.31792
Car3,1000,43.7,39.32798,-76.87882
Car1,1005,36,39.19389,-77.41379
Car2,1005,30.9,39.21574,-77.31626
Car3,1005,43.7,39.32603,-76.87842
Car1,1010,36,39.19311,-77.41196
Car2,1010,30.9,39.21526,-77.31458
Car3,1010,43.7,39.32408,-76.87812
Car1,1015,36,39.19233,-77.41013
Car2,1015,30.9,39.21482,-77.31288
Car3,1015,43.7,39.32212,-76.87794
Car1,1020,36,39.19154,-77.4083
Car2,1020,30.9,39.21442,-77.31116
Car3,1020,43.7,39.32016,-76.87786
Car1,1025,36,39.19076,-77.40647
Car2,1025,30.9,39.21407,-77.30943
Car3,1025,43.7,39.31819,-76.8779
Car1,1030,36,39.18998,-77.40464
Car2,1030,30.9,39.21375,-77.30769
Car3,1030,43.7,39.31623,-76.87804
Car1,1035,36,39.1892,-77.40282
Car2,1035,30.9,39.21351,-77.30592
Car3,1035,43.7,39.31427,-76.8783
Car1,1040,36,39.18842,-77.40099
Car2,1040,30.9,39.21328,-77.30416
Car3,1040,43.7,39.31232,-76.87868
Car1,1045,36,39.18763,-77.39915
Car2,1045,30.9,39.21305,-77.30239
Car3,1045,43.7,39.31039,-76.87915
Car1,1050,36,39.18685,-77.39732
Car2,1050,30.9,39.21282,-77.30063
Car3,1050,43.7,39.30848,-76.87975
Car1,1055,36,39.18607,-77.3955
Car2,1055,30.9,39.21259,-77.29886
Car3,1055,43.7,39.30659,-76.88044
Car1,1060,36,39.18529,-77.39367
Car2,1060,30.9,39.21236,-77.2971
Car3,1060,43.7,39.30473,-76.88124
Car1,1065,36,39.18451,-77.39184
Car2,1065,30.9,39.21214,-77.29533
Car3,1065,43.7,39.30289,-76.88214
Car1,1070,36,39.18372,-77.39001
Car2,1070,30.9,39.2119,-77.29356
Car3,1070,43.7,39.30108,-76.88315
Car1,1075,36,39.18294,-77.38818
Car2,1075,30.9,39.21167,-77.29179
Car3,1075,43.7,39.29932,-76.88426
Car1,1080,36,39.18216,-77.38635
Car2,1080,30.9,39.21144,-77.29002
Car3,1080,43.7,39.29758,-76.88547
Car1,1085,36,39.18137,-77.38452
Car2,1085,30.9,39.21122,-77.28825
Car3,1085,43.7,39.2959,-76.88677
Car1,1090,36,39.18059,-77.38269
Car2,1090,30.9,39.21099,-77.28649
Car3,1090,43.7,39.29426,-76.88818
Car1,1095,36,39.17981,-77.38087
Car2,1095,30.9,39.21076,-77.28472
Car3,1095,43.7,39.29266,-76.88966
Car1,1100,36,39.17903,-77.37904
Car2,1100,30.9,39.21053,-77.28296
Car3,1100,43.7,39.29112,-76.89124
Car1,1105,36,39.17825,-77.3772
Car2,1105,30.9,39.2103,-77.28119
Car3,1105,43.7,39.28964,-76.89291
Car1,1110,36,39.17746,-77.37538
Car2,1110,30.9,39.21007,-77.27943
Car3,1110,43.7,39.28823,-76.89467
Car1,1115,36,39.17668,-77.37355
Car2,1115,30.9,39.20984,-77.27766
Car3,1115,43.7,39.28687,-76.89651
Car1,1120,36,39.1759,-77.37172
Car2,1120,30.9,39.20961,-77.27589
Car3,1120,43.7,39.28551,-76.89835
Car1,1125,36,39.17512,-77.3699
Car2,1125,30.9,39.20938,-77.27412
Car3,1125,43.7,39.28416,-76.90019
Car1,1130,36,39.17434,-77.36806
Car2,1130,30.9,39.20915,-77.27235
Car3,1130,43.7,39.2828,-76.90203
Car1,1135,36,39.17355,-77.36623
Car2,1135,30.9,39.20892,-77.27059
Car3,1135,43.7,39.28144,-76.90387
Car1,1140,36,39.17277,-77.36441
Car2,1140,30.9,39.20869,-77.26882
Car3,1140,43.7,39.28009,-76.9057
